"X","realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat"
3100,177.097297678685,"Private room","False","True",2,"False",1,0,6,60,1,3.70705789337156,0.833782727031328,290.559960350404,20.1979556439988,645.795557707259,11.5586152247079,-0.11662,51.54094
3103,174.745407935276,"Private room","False","True",3,"False",0,1,9,86,1,1.84948891960325,0.576933934989411,542.86442497963,37.7366226345171,805.810441289658,14.422602824935,-0.114,51.494
3105,258.707871774971,"Private room","False","True",3,"False",1,0,8,83,1,2.215336199126,0.48228963946724,465.774574050718,32.3778065478585,733.899369583431,13.1355199419255,-0.10948,51.4919
3108,134.292904348644,"Private room","False","True",3,"True",0,1,9,95,1,6.63887961974584,1.18474996240178,196.768191902639,13.678124155188,386.560203007293,6.91875407692364,-0.03502,51.49324
3109,134.292904348644,"Private room","False","True",2,"True",0,1,9,98,1,6.60249298405791,1.15665051287052,197.69896800405,13.7428260307944,388.031108811228,6.94508072785296,-0.03563,51.49308
3110,265.057974082175,"Private room","False","True",2,"False",1,0,10,100,1,2.63584446320216,0.280007776780673,408.868226049432,28.4220244387,689.394823656115,12.3389661162062,-0.10016,51.4919
3111,174.745407935276,"Private room","False","True",2,"False",0,1,9,86,1,2.28368954321113,0.429828636730171,464.187728725624,32.2674987427105,737.27234205206,13.1958902719209,-0.10551,51.49307
3112,160.398880500482,"Private room","False","True",2,"False",0,1,9,84,1,1.96313539661914,0.48100042986246,608.453228663497,42.2959560882803,803.642393135465,14.3837985406629,-0.10878,51.49511
3114,193.795714856888,"Private room","False","True",2,"False",0,1,9,93,1,1.82695475355346,0.325873667672902,585.013645447519,40.6665792755246,865.447341421739,15.4899994237415,-0.10787,51.4974
3116,194.736470754251,"Private room","False","True",2,"False",1,0,10,100,1,6.31875181932011,0.628850173060802,201.722719550815,14.0225326881261,471.617725382171,8.44113552003641,-0.21813,51.50314
3117,193.795714856888,"Private room","False","True",2,"False",0,0,10,98,1,5.18885079213068,0.429376421644335,218.195981345799,15.1676533394567,469.753985280813,8.40777781967232,-0.11765,51.55455
3118,206.731108445636,"Private room","False","True",2,"False",1,0,10,97,1,3.0126577339262,0.0849481031126729,389.528883318371,27.0776713275728,833.60192238807,14.920021911684,-0.16462,51.52236
3119,180.860321268139,"Private room","False","True",2,"False",1,0,10,93,1,7.55730993726584,2.13080790413697,158.574356004915,11.0231217164278,336.433902879933,6.02158064657771,-0.03592,51.54505
3121,238.011242032973,"Private room","False","True",2,"True",1,0,10,98,1,5.37469723991108,0.214291143466747,237.277394447723,16.4940767564778,530.812987706583,9.50062757161178,-0.19503,51.48472
3122,179.919565370775,"Private room","False","True",2,"False",1,0,9,86,1,3.53852129110713,0.395876531807528,330.428811010741,22.9693948892533,707.497349375204,12.6629697840623,-0.17219,51.52363
3123,323.149650744373,"Private room","False","True",2,"False",1,0,10,100,0,2.0760923970157,0.622955045298303,499.357761953192,34.7123048690319,765.554092731896,13.7020843299134,-0.11025,51.49309
3124,279.404501516969,"Private room","False","True",2,"False",1,0,10,98,1,2.1585234284284,0.572786614563366,490.212297128278,34.0765679538197,754.884689899878,13.5111206099855,-0.10777,51.49334
3128,213.316399727181,"Private room","False","True",2,"False",0,0,10,98,1,2.72380994535371,0.59843875667684,401.976876113594,27.942979837498,827.211046731092,14.8056363731241,-0.1444,51.53042
3129,179.919565370775,"Private room","False","True",2,"False",0,1,10,95,1,2.28346127213808,0.309561141053336,466.894509408021,32.4556576208132,748.423233291421,13.395471795377,-0.10409,51.49392
3130,119.005621016487,"Private room","False","True",2,"True",1,0,10,97,1,5.99681351206978,2.5170340407247,199.758880980214,13.8860186127072,382.799306009093,6.85144057378297,-0.05884,51.47566
3132,226.48698229027,"Private room","False","True",2,"False",1,0,10,90,1,1.71974085938815,0.389220755574418,585.457401314404,40.6974264758935,848.808204052747,15.1921878574897,-0.11336,51.49564
3133,226.48698229027,"Private room","False","True",2,"False",1,0,9,87,1,1.90773175151572,0.601561612362839,529.636246199319,36.8170803550737,793.651719900246,14.2049828978739,-0.11325,51.49367
3134,195.206848702933,"Private room","False","True",2,"False",0,1,9,87,1,2.55197256347291,0.170771154967773,426.140769114181,29.6227062472332,1130.93496702213,20.2417653264534,-0.122,51.531
3135,151.461699475529,"Private room","False","True",2,"False",1,0,7,84,1,1.84513035603625,0.610694114923752,541.852872875338,37.6663057040308,804.77560462696,14.4040810518107,-0.11466,51.49381
3137,131.941014605235,"Private room","False","True",2,"False",1,0,9,90,1,6.41059635552507,1.25877529058931,200.604150337064,13.9447765811358,389.331620117435,6.96835761417469,-0.04079,51.48859
3138,290.928761259672,"Private room","False","True",2,"False",0,1,10,96,1,2.37148973279354,0.109685932630795,454.425000546521,31.5888534452368,750.353021143188,13.4300116353893,-0.10117,51.49476
3139,144.876408193984,"Private room","False","True",2,"False",0,0,10,98,1,8.29890068726752,1.82997248969351,142.960993685704,9.93777603013023,301.418904152619,5.39487318079778,-0.03049,51.55192
3140,297.514052541217,"Private room","False","True",2,"True",1,0,10,95,1,5.15481142235424,0.133380594574004,258.725642002211,17.9850280638245,584.378714078875,10.4593607387575,-0.19595,51.49039
3144,161.574825372187,"Private room","False","True",2,"False",0,1,9,86,1,2.0672140107777,0.724834588227481,485.409114231412,33.7426799845898,753.216153933228,13.4812567235017,-0.11468,51.49156
3148,156.400667936687,"Private room","False","True",2,"False",0,0,10,100,1,11.622656887191,5.2385491563022,106.358493057364,7.39339351005042,217.068455117507,3.88514711843586,0.01543,51.45406
3150,167.92492767939,"Private room","False","True",2,"False",0,1,7,69,0,6.0186925440171,0.390971914970454,211.22157993052,14.6828355061277,491.884524846203,8.80387591681574,-0.21093,51.49365
3152,319.386627154919,"Private room","False","True",4,"False",0,1,10,100,2,7.89030115843836,2.3579243188593,149.461453610938,10.3896483427404,318.468695869073,5.70003474432967,-0.03854,51.55247
3154,332.557209718008,"Private room","False","True",2,"False",0,1,10,80,1,5.74734120505737,0.149874683525631,226.461737602945,15.7422382824221,515.873533295818,9.23323736872132,-0.2087,51.49829
3155,300.101131258967,"Private room","False","True",2,"False",0,1,9,75,1,5.83924378413323,0.0674899222613749,222.045626586623,15.4352571886778,505.705709604059,9.05125104143385,-0.21003,51.49823
3156,194.030903831228,"Private room","False","True",2,"False",0,0,4,80,1,5.53089723259885,0.633879471966785,205.103580775547,14.2575495327502,442.007680719281,7.91116731421622,-0.12921,51.55802
3161,155.224723064983,"Private room","False","True",2,"False",0,1,8,84,1,6.53724631894447,0.401207502748824,188.221712903758,13.0840250799969,434.731973071577,7.78094482478653,-0.21529,51.48711
3162,143.700463322279,"Private room","False","True",2,"False",0,1,8,89,1,6.60117188284068,0.555489788918657,185.546335016731,12.8980491326298,426.582300510571,7.63507988623778,-0.21537,51.48569
3164,355.605729203415,"Private room","False","True",3,"True",1,0,10,100,2,3.1629140273987,0.173667062684555,363.947798507497,25.2994303899285,815.630205181452,14.5983594882755,-0.14012,51.53564
3166,271.64326536372,"Private room","False","True",2,"True",0,0,10,93,1,7.30861939931502,1.4940696174302,181.28039973485,12.6015073396735,357.817699697756,6.40431334969207,-0.026,51.491
3168,191.208636139138,"Private room","False","True",2,"False",0,1,10,95,1,6.2356813610444,0.201494404221311,183.407216851329,12.7493506892174,401.325258360863,7.18302284056971,-0.10726,51.56293
3169,185.093722806275,"Private room","False","True",2,"False",0,1,9,90,1,1.71998024141853,0.555626151578637,576.199949556769,40.0539049123867,834.407370713761,14.9344380332707,-0.11584,51.49469
